0 bytes=4913319306 alive=1 started=0
5 bytes=5206506890 alive=1 started=1
10 bytes=6469340554 alive=1 started=1
15 bytes=7608552842 alive=1 started=1
20 bytes=8824667530 alive=1 started=1
25 bytes=10053533066 alive=1 started=1
31 bytes=11215003018 alive=1 started=1
36 bytes=12648980132 alive=1 started=1
41 bytes=13885841060 alive=1 started=1
46 bytes=14755561124 alive=1 started=1
51 bytes=15681887908 alive=1 started=1
56 bytes=16591765156 alive=1 started=1
61 bytes=17515380388 alive=1 started=1
66 bytes=18439659172 alive=1 started=1
71 bytes=18815708318 alive=1 started=1
76 bytes=18815708318 alive=1 started=1
81 bytes=18815708318 alive=1 started=1
86 bytes=18815708318 alive=1 started=1
91 bytes=18815708318 alive=1 started=1
96 bytes=18815708318 alive=1 started=1
101 bytes=18815708318 alive=1 started=1
106 bytes=18815708318 alive=1 started=1
111 bytes=18815708318 alive=1 started=1
116 bytes=18815708318 alive=1 started=1
121 bytes=18815708318 alive=1 started=1
126 bytes=18815708318 alive=1 started=1
131 bytes=18815708318 alive=1 started=1
136 bytes=18815708318 alive=1 started=1
141 bytes=18815708318 alive=1 started=1
146 bytes=18815708318 alive=1 started=1
151 bytes=18815708318 alive=1 started=1
157 bytes=18815708318 alive=1 started=1
162 bytes=18815708318 alive=1 started=1
167 bytes=18815708318 alive=1 started=1
172 bytes=18815708318 alive=1 started=1
177 bytes=18815708318 alive=1 started=1
182 bytes=18815708318 alive=1 started=1
187 bytes=18815708318 alive=1 started=1
192 bytes=18815708318 alive=1 started=1
197 bytes=18815708318 alive=1 started=1
202 bytes=18815708318 alive=1 started=1
207 bytes=18815708318 alive=1 started=1
212 bytes=18815708318 alive=1 started=1
217 bytes=18815708318 alive=1 started=1
222 bytes=18815708318 alive=1 started=1
227 bytes=18815708318 alive=1 started=1
232 bytes=18815708318 alive=1 started=1
237 bytes=18815708318 alive=1 started=1
242 bytes=18815708318 alive=1 started=1
247 bytes=18815708318 alive=1 started=1
252 bytes=18815708318 alive=1 started=1
257 bytes=18815708318 alive=1 started=1
262 bytes=18815708318 alive=1 started=1
267 bytes=18815708318 alive=1 started=1
272 bytes=18815708318 alive=1 started=1
277 bytes=18815708318 alive=1 started=1
282 bytes=18815708318 alive=1 started=1
288 bytes=18815708318 alive=1 started=1
293 bytes=18815708318 alive=1 started=1
298 bytes=18815708318 alive=1 started=1
303 bytes=18815708318 alive=1 started=1
308 bytes=18815708318 alive=1 started=1
313 bytes=18815708318 alive=1 started=1
318 bytes=18815708318 alive=1 started=1
323 bytes=18815708318 alive=1 started=1
328 bytes=18815708318 alive=1 started=1
333 bytes=18815708318 alive=1 started=1
338 bytes=18815708318 alive=1 started=1
343 bytes=18815708318 alive=1 started=1
348 bytes=18815708318 alive=1 started=1
353 bytes=18815708318 alive=1 started=1
358 bytes=18815708318 alive=1 started=1
363 bytes=18815708318 alive=1 started=1
368 bytes=18815708318 alive=1 started=1
373 bytes=18815708318 alive=1 started=1
378 bytes=18815708318 alive=1 started=1
383 bytes=18815708318 alive=1 started=1
388 bytes=18815708318 alive=1 started=1
393 bytes=18815708318 alive=1 started=1
398 bytes=18815708318 alive=1 started=1
403 bytes=18815708318 alive=1 started=1
408 bytes=18815708318 alive=1 started=1
414 bytes=18815708318 alive=1 started=1
419 bytes=18815708318 alive=1 started=1
424 bytes=18815708318 alive=1 started=1
429 bytes=18815708318 alive=1 started=1
434 bytes=18815708318 alive=1 started=1
439 bytes=18815708318 alive=1 started=1
444 bytes=18815708318 alive=1 started=1
449 bytes=18815708318 alive=1 started=1
454 bytes=18815708318 alive=1 started=1
459 bytes=18815708318 alive=1 started=1
464 bytes=18815708318 alive=1 started=1
469 bytes=18815708318 alive=1 started=1
474 bytes=18815708318 alive=1 started=1
479 bytes=18815708318 alive=1 started=1
484 bytes=18815708318 alive=1 started=1
489 bytes=18815708318 alive=1 started=1
494 bytes=18815708318 alive=1 started=1
499 bytes=18815708318 alive=1 started=1
504 bytes=18815708318 alive=1 started=1
509 bytes=18815708318 alive=1 started=1
514 bytes=18815708318 alive=1 started=1
519 bytes=18815708318 alive=1 started=1
524 bytes=18815708318 alive=1 started=1
529 bytes=18815708318 alive=1 started=1
534 bytes=18815708318 alive=1 started=1
539 bytes=18815708318 alive=1 started=1
545 bytes=18815708318 alive=1 started=1
550 bytes=18815708318 alive=1 started=1
555 bytes=18815708318 alive=1 started=1
560 bytes=18815708318 alive=1 started=1
565 bytes=18815708318 alive=1 started=1
570 bytes=18815708318 alive=1 started=1
575 bytes=18815708318 alive=1 started=1
580 bytes=18815708318 alive=1 started=1
585 bytes=18815708318 alive=1 started=1
590 bytes=18815708318 alive=1 started=1
595 bytes=18815708318 alive=1 started=1
600 bytes=18815708318 alive=1 started=1
605 bytes=18815708318 alive=1 started=1
610 bytes=18815708318 alive=1 started=1
615 bytes=18815708318 alive=1 started=1
620 bytes=18815708318 alive=1 started=1
625 bytes=18815708318 alive=1 started=1
630 bytes=18815708318 alive=1 started=1
635 bytes=18815708318 alive=1 started=1
640 bytes=18815708318 alive=1 started=1
645 bytes=18815708318 alive=1 started=1
650 bytes=18815708318 alive=1 started=1
655 bytes=18815708318 alive=1 started=1
660 bytes=18815708318 alive=1 started=1
665 bytes=18815708318 alive=1 started=1
670 bytes=18815708318 alive=1 started=1
675 bytes=18815708318 alive=1 started=1
681 bytes=18815708318 alive=1 started=1
686 bytes=18815708318 alive=1 started=1
691 bytes=18815708318 alive=1 started=1
696 bytes=18815708318 alive=1 started=1
701 bytes=18815708318 alive=1 started=1
706 bytes=18815708318 alive=1 started=1
711 bytes=18815708318 alive=1 started=1
716 bytes=18815708318 alive=1 started=1
721 bytes=18815708318 alive=1 started=1
726 bytes=18815708318 alive=1 started=1
731 bytes=18815708318 alive=1 started=1
736 bytes=18815708318 alive=1 started=1
741 bytes=18815708318 alive=1 started=1
746 bytes=18815708318 alive=1 started=1
751 bytes=18815708318 alive=1 started=1
756 bytes=18815708318 alive=1 started=1
761 bytes=18815708318 alive=1 started=1
766 bytes=18815708318 alive=1 started=1
771 bytes=18815708318 alive=1 started=1
776 bytes=18815708318 alive=1 started=1
781 bytes=18815708318 alive=1 started=1
786 bytes=18815708318 alive=1 started=1
791 bytes=18815708318 alive=1 started=1
796 bytes=18815708318 alive=1 started=1
801 bytes=18815708318 alive=1 started=1
806 bytes=18815708318 alive=1 started=1
812 bytes=18815708318 alive=1 started=1
817 bytes=18815708318 alive=1 started=1
822 bytes=18815708318 alive=1 started=1
827 bytes=18815708318 alive=1 started=1
832 bytes=18815708318 alive=1 started=1
837 bytes=18815708318 alive=1 started=1
842 bytes=18815708318 alive=1 started=1
847 bytes=18815708318 alive=1 started=1
852 bytes=18815708318 alive=1 started=1
857 bytes=18815708318 alive=1 started=1
862 bytes=18815708318 alive=1 started=1
867 bytes=18815708318 alive=1 started=1
872 bytes=18815708318 alive=1 started=1
877 bytes=18815708318 alive=1 started=1
882 bytes=18815708318 alive=1 started=1
887 bytes=18815708318 alive=1 started=1
892 bytes=18815708318 alive=1 started=1
897 bytes=19260828830 alive=1 started=1
902 bytes=19426388306 alive=1 started=1
907 bytes=19430250254 alive=1 started=1
912 bytes=19432904890 alive=1 started=1
917 bytes=19435586810 alive=1 started=1
922 bytes=12486808888 alive=1 started=1
927 bytes=12486810704 alive=1 started=1
932 bytes=12486810704 alive=1 started=1
937 bytes=12486810704 alive=1 started=1
943 bytes=12486810704 alive=1 started=1
948 bytes=12486810704 alive=1 started=1
953 bytes=12486810704 alive=1 started=1
958 bytes=12486810704 alive=1 started=1
963 bytes=12486810704 alive=1 started=1
968 bytes=12486810704 alive=1 started=1
973 bytes=12486810704 alive=1 started=1
978 bytes=12486810704 alive=1 started=1
983 bytes=12486810704 alive=1 started=1
988 bytes=12486810704 alive=1 started=1
993 bytes=12486810704 alive=1 started=1
998 bytes=12486810704 alive=1 started=1
1003 bytes=12486810704 alive=1 started=1
1008 bytes=12486810704 alive=1 started=1
1013 bytes=12486810704 alive=1 started=1
1018 bytes=12486810704 alive=1 started=1
1023 bytes=12486810704 alive=1 started=1
1028 bytes=12486810704 alive=1 started=1
1033 bytes=12486810704 alive=1 started=1
1038 bytes=12486810704 alive=1 started=1
1043 bytes=12486810704 alive=1 started=1
1048 bytes=12486810704 alive=1 started=1
1053 bytes=12486810704 alive=1 started=1
1058 bytes=12486810704 alive=1 started=1
1063 bytes=12486810704 alive=1 started=1
1069 bytes=12486810704 alive=1 started=1
1074 bytes=12486810704 alive=1 started=1
1079 bytes=12486810704 alive=1 started=1
1084 bytes=12486810704 alive=1 started=1
1089 bytes=12486810704 alive=1 started=1
1094 bytes=12486810704 alive=1 started=1
1099 bytes=12486810704 alive=1 started=1
1104 bytes=12486810704 alive=1 started=1
1109 bytes=12486810704 alive=1 started=1
1114 bytes=12486810704 alive=1 started=1
1119 bytes=12486810704 alive=1 started=1
1124 bytes=12486849168 alive=1 started=1
1129 bytes=12486849168 alive=1 started=1
1134 bytes=12486849168 alive=1 started=1
1139 bytes=12486849168 alive=1 started=1
1144 bytes=12486849168 alive=1 started=1
1149 bytes=12486849168 alive=1 started=1
1154 bytes=12486849168 alive=1 started=1
1159 bytes=12486849168 alive=1 started=1
1164 bytes=12486849168 alive=1 started=1
1169 bytes=12486849168 alive=1 started=1
1174 bytes=12486849168 alive=1 started=1
1179 bytes=12486849168 alive=1 started=1
1184 bytes=12486849168 alive=1 started=1
1189 bytes=12486849168 alive=1 started=1
1195 bytes=12486849168 alive=1 started=1
1200 bytes=12486849168 alive=1 started=1
1205 bytes=12486849168 alive=1 started=1
1210 bytes=12486849168 alive=1 started=1
1215 bytes=12486849168 alive=1 started=1
1220 bytes=12486849168 alive=1 started=1
1225 bytes=12486849168 alive=1 started=1
1230 bytes=12486849168 alive=1 started=1
1235 bytes=12486849168 alive=1 started=1
1240 bytes=12486849168 alive=1 started=1
1245 bytes=12486849168 alive=1 started=1
1250 bytes=12486849168 alive=1 started=1
1255 bytes=12486849168 alive=1 started=1
1260 bytes=12486849168 alive=1 started=1
1265 bytes=12486849168 alive=1 started=1
1270 bytes=12486849168 alive=1 started=1
1275 bytes=12486849168 alive=1 started=1
1280 bytes=12486849168 alive=1 started=1
1285 bytes=12486849168 alive=1 started=1
1290 bytes=12486849168 alive=1 started=1
1295 bytes=12486849168 alive=1 started=1
1300 bytes=12486849168 alive=1 started=1
1305 bytes=12486849168 alive=1 started=1
1310 bytes=12486849168 alive=1 started=1
1316 bytes=12486849168 alive=1 started=1
1321 bytes=12486849168 alive=1 started=1
1326 bytes=12486849168 alive=1 started=1
1331 bytes=12486849168 alive=1 started=1
1336 bytes=12486849168 alive=1 started=1
1341 bytes=12486849168 alive=1 started=1
1346 bytes=12486849168 alive=1 started=1
1351 bytes=12486849168 alive=1 started=1
1356 bytes=12486849168 alive=1 started=1
1361 bytes=12486849168 alive=1 started=1
1366 bytes=12486849168 alive=1 started=1
1371 bytes=12486849168 alive=1 started=1
1376 bytes=12486849168 alive=1 started=1
1381 bytes=12486849168 alive=1 started=1
1386 bytes=12486849168 alive=1 started=1
1391 bytes=12486849168 alive=1 started=1
1396 bytes=12486849168 alive=1 started=1
1401 bytes=12486849168 alive=1 started=1
1406 bytes=12486849168 alive=1 started=1
1411 bytes=12486849168 alive=1 started=1
1416 bytes=12486849168 alive=1 started=1
1421 bytes=12486849168 alive=1 started=1
1426 bytes=12486849168 alive=1 started=1
1431 bytes=12486849168 alive=1 started=1
1436 bytes=12486849168 alive=1 started=1
1442 bytes=12486849168 alive=1 started=1
1447 bytes=12486849168 alive=1 started=1
1452 bytes=12486849168 alive=1 started=1
1457 bytes=12486849168 alive=1 started=1
1462 bytes=12486849168 alive=1 started=1
1467 bytes=12486849168 alive=1 started=1
1472 bytes=12486849168 alive=1 started=1
1477 bytes=12486849168 alive=1 started=1
1482 bytes=12486849168 alive=1 started=1
1487 bytes=12486849168 alive=1 started=1
1492 bytes=12486849168 alive=1 started=1
1497 bytes=12486849168 alive=1 started=1
1502 bytes=12486849168 alive=1 started=1
1507 bytes=12486849168 alive=1 started=1
1512 bytes=12486849168 alive=1 started=1
1517 bytes=12486849168 alive=1 started=1
1522 bytes=12486849168 alive=1 started=1
1527 bytes=12486852917 alive=1 started=1
1532 bytes=12486891286 alive=1 started=1
1537 bytes=12486959792 alive=1 started=1
1542 bytes=12488268205 alive=1 started=1
1547 bytes=12494313207 alive=1 started=1
1552 bytes=12540868002 alive=0 started=1
1558 bytes=12540868002 alive=0 started=1
1563 bytes=12540868002 alive=0 started=1
1568 bytes=12540868002 alive=0 started=1
1573 bytes=12540868002 alive=0 started=1
1578 bytes=12540868002 alive=0 started=1
1583 bytes=12540868002 alive=0 started=1
1588 bytes=12540868002 alive=0 started=1
1593 bytes=12540868002 alive=0 started=1
1598 bytes=12540868002 alive=0 started=1
1603 bytes=12540868002 alive=0 started=1
1608 bytes=12540868002 alive=0 started=1
1613 bytes=12540868002 alive=0 started=1
1618 bytes=12540868002 alive=0 started=1
1623 bytes=12540868002 alive=0 started=1
1628 bytes=12540868002 alive=0 started=1
1633 bytes=12540868002 alive=0 started=1
1638 bytes=12540868002 alive=0 started=1
1643 bytes=12540868002 alive=0 started=1
