0 bytes=4913322362 alive=1 started=0
5 bytes=5007087994 alive=1 started=1
10 bytes=6149036410 alive=1 started=1
15 bytes=7330838906 alive=1 started=1
20 bytes=8490461562 alive=1 started=1
25 bytes=9661315450 alive=1 started=1
31 bytes=10845788538 alive=1 started=1
36 bytes=11872389349 alive=1 started=1
41 bytes=13611919589 alive=1 started=1
46 bytes=14597712101 alive=1 started=1
51 bytes=15503984869 alive=1 started=1
56 bytes=16415164645 alive=1 started=1
61 bytes=17316169957 alive=1 started=1
66 bytes=18230356197 alive=1 started=1
71 bytes=18815219016 alive=1 started=1
76 bytes=18815219016 alive=1 started=1
81 bytes=18815219016 alive=1 started=1
86 bytes=18815219016 alive=1 started=1
91 bytes=18815219016 alive=1 started=1
96 bytes=18815219016 alive=1 started=1
101 bytes=18815219016 alive=1 started=1
106 bytes=18815219016 alive=1 started=1
111 bytes=18815219016 alive=1 started=1
116 bytes=18815219016 alive=1 started=1
121 bytes=18815219016 alive=1 started=1
126 bytes=18815219016 alive=1 started=1
132 bytes=18815219016 alive=1 started=1
137 bytes=18815219016 alive=1 started=1
142 bytes=18815219016 alive=1 started=1
147 bytes=18815219016 alive=1 started=1
152 bytes=18815219016 alive=1 started=1
157 bytes=18815219016 alive=1 started=1
162 bytes=18815219016 alive=1 started=1
167 bytes=18815219016 alive=1 started=1
172 bytes=18815219016 alive=1 started=1
177 bytes=18815219016 alive=1 started=1
182 bytes=18815219016 alive=1 started=1
187 bytes=18815219016 alive=1 started=1
192 bytes=18815219016 alive=1 started=1
197 bytes=18815219016 alive=1 started=1
202 bytes=18815219016 alive=1 started=1
207 bytes=18815219016 alive=1 started=1
212 bytes=18815219016 alive=1 started=1
217 bytes=18815219016 alive=1 started=1
222 bytes=18815219016 alive=1 started=1
227 bytes=18815219016 alive=1 started=1
233 bytes=18815219016 alive=1 started=1
238 bytes=18815219016 alive=1 started=1
243 bytes=18815219016 alive=1 started=1
248 bytes=18815219016 alive=1 started=1
253 bytes=18815219016 alive=1 started=1
258 bytes=18815219016 alive=1 started=1
263 bytes=18815219016 alive=1 started=1
268 bytes=18815219016 alive=1 started=1
273 bytes=18815219016 alive=1 started=1
278 bytes=18815219016 alive=1 started=1
283 bytes=18815219016 alive=1 started=1
288 bytes=18815219016 alive=1 started=1
293 bytes=18815219016 alive=1 started=1
298 bytes=18815219016 alive=1 started=1
303 bytes=18815219016 alive=1 started=1
308 bytes=18815219016 alive=1 started=1
313 bytes=18815219016 alive=1 started=1
319 bytes=18815219016 alive=1 started=1
324 bytes=18815219016 alive=1 started=1
329 bytes=18815219016 alive=1 started=1
334 bytes=18815219016 alive=1 started=1
339 bytes=18815219016 alive=1 started=1
344 bytes=18815219016 alive=1 started=1
349 bytes=18815219016 alive=1 started=1
354 bytes=18815219016 alive=1 started=1
359 bytes=18815219016 alive=1 started=1
364 bytes=18815219016 alive=1 started=1
369 bytes=18815219016 alive=1 started=1
374 bytes=18815219016 alive=1 started=1
379 bytes=18815219016 alive=1 started=1
384 bytes=18815219016 alive=1 started=1
